trace_id,endpoint,is_correct,structural_stability,n_bonds,n_entropy_points,initial_entropy,final_entropy,covalent_ratio,hydrogen_ratio,vdw_ratio
a7f786ab-8711-4120-8ab8-b387400946d7,cyp2c9_veith,True,6.703830429961147e-05,231,231,-0.0,1.3919749889302295,0.17316017316017315,0.24675324675324675,0.5800865800865801
ad80367a-add1-48a6-b3dc-c14905153680,cyp2c9_veith,True,2.6667543340028934e-18,300,300,-0.0,1.3899356810761947,0.15333333333333332,0.27666666666666667,0.57
ad8679bb-65ab-4ca0-9fc6-f5e32efe653b,cyp2c9_veith,True,2.2604435164043628e-18,210,210,-0.0,1.1650653708248073,0.12380952380952381,0.17142857142857143,0.7047619047619048
af536144-3d42-45a3-adf7-6e1f3f6a86f3,cyp2c9_veith,True,6.528945553344985e-17,276,276,-0.0,1.2909176921082879,0.1956521739130435,0.15942028985507245,0.644927536231884
af56df4c-8f22-4aea-9976-18b208fcb8c7,cyp2c9_veith,True,3.320341401993736e-20,190,190,-0.0,1.3954311892217073,0.14210526315789473,0.30526315789473685,0.5526315789473685
b6360ffd-6d21-4967-9be8-cd35d0402d65,cyp2c9_veith,True,2.2665253498220348e-17,231,231,-0.0,1.4644887193797755,0.23376623376623376,0.23376623376623376,0.5324675324675324
bec39296-ade8-49e0-844f-343a86c18c22,cyp2c9_veith,True,2.251504326985796e-17,190,190,-0.0,1.4067883410286133,0.18947368421052632,0.23684210526315788,0.5736842105263158
c2418381-a772-498d-99a5-6268687c8207,cyp2c9_veith,True,4.6989102837387294e-20,190,190,-0.0,1.3871076052951459,0.2,0.21052631578947367,0.5894736842105263
c357131c-127c-4893-b0f5-d9b6ebb44b90,cyp2c9_veith,False,0.00034418096128996676,253,253,-0.0,1.2715310143324385,0.16205533596837945,0.18181818181818182,0.6561264822134387
c40c8af5-42e3-49f9-be99-7f37d25b2f15,cyp2c9_veith,True,6.037433705014678e-22,276,276,-0.0,1.3325705854178995,0.18840579710144928,0.18840579710144928,0.6231884057971014
c50d7fc4-e0ca-4dfd-9339-2a1abe681a8a,cyp2c9_veith,True,0.0003336855733868355,190,190,-0.0,1.386523197867452,0.19473684210526315,0.21578947368421053,0.5894736842105263
c6081ac1-a14f-4cb6-bb71-b49b3a0ce098,cyp2c9_veith,True,4.2241274173150945e-21,171,171,-0.0,1.357709396593418,0.19298245614035087,0.19883040935672514,0.6081871345029239
cce70fa9-6eef-4fb8-9b57-211422fe69c4,cyp2c9_veith,True,4.4634968460404616e-21,190,190,-0.0,1.3752064303961165,0.17894736842105263,0.22631578947368422,0.5947368421052631
d3165c88-1921-4887-99bc-a3b19ad942dd,cyp2c9_veith,True,4.9045156834861636e-24,190,190,-0.0,1.4737226614667598,0.17894736842105263,0.3263157894736842,0.49473684210526314
d326f310-cbb2-4717-a610-5d8efc268a0f,cyp2c9_veith,False,2.211321651798462e-19,253,253,-0.0,1.3673075567086526,0.15810276679841898,0.2490118577075099,0.5928853754940712
d484b687-6311-454f-a04d-5f9c540f9bd1,cyp2c9_veith,False,0.00010684412443667441,253,253,-0.0,1.3388241591090337,0.21739130434782608,0.16600790513833993,0.616600790513834
d4a89f19-8ce3-4c9a-8571-714cd67abe1e,cyp2c9_veith,True,1.0823576551401263e-19,253,253,-0.0,1.1886386397700495,0.11067193675889328,0.2015810276679842,0.6877470355731226
d6689496-7ee2-4bd0-9f97-696e6390870a,cyp2c9_veith,True,2.205623419431673e-19,190,190,-0.0,1.3999856221513192,0.1736842105263158,0.25263157894736843,0.5736842105263158
d9173962-198b-4a07-9d10-f6c595819798,cyp2c9_veith,True,2.33742389225117e-20,325,325,-0.0,1.4008370554769167,0.13538461538461538,0.3292307692307692,0.5353846153846153
